iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
0,128,3,1,3584,64,3,1,73792,128,3,2,73856,151232
1,128,3,1,3584,128,3,1,147584,256,5,0,819456,970624
2,128,3,1,3584,32,1,1,4128,256,5,2,205056,212768
3,128,3,1,3584,32,1,1,4128,256,3,0,73984,81696
4,128,3,1,3584,16,3,1,18448,128,1,1,2176,24208
5,128,3,1,3584,128,5,2,409728,32,1,0,4128,417440
6,128,3,1,3584,64,3,1,73792,64,3,1,36928,114304
7,128,3,1,3584,128,5,2,409728,16,3,2,18448,431760
8,128,3,1,3584,64,1,1,8256,16,5,2,25616,37456
9,128,3,1,3584,64,3,0,73792,256,1,1,16640,94016
10,128,3,1,3584,32,3,2,36896,256,1,1,8448,48928
11,128,3,1,3584,64,1,0,8256,64,1,0,4160,16000
12,128,3,1,3584,16,1,2,2064,64,1,1,1088,6736
13,128,3,1,3584,32,1,1,4128,256,3,2,73984,81696
14,128,3,1,3584,64,3,0,73792,32,3,1,18464,95840
15,128,3,1,3584,128,5,1,409728,128,3,0,147584,560896
16,128,3,1,3584,64,5,1,204864,256,5,0,409856,618304
17,128,3,1,3584,32,3,2,36896,16,5,1,12816,53296
18,128,3,1,3584,256,1,0,33024,128,1,1,32896,69504
19,128,3,1,3584,16,5,0,51216,32,5,2,12832,67632
20,128,3,1,3584,16,5,1,51216,64,1,0,1088,55888
21,128,3,1,3584,64,5,2,204864,16,3,2,9232,217680
22,128,3,1,3584,64,5,1,204864,128,5,2,204928,413376
23,128,3,1,3584,32,5,0,102432,32,1,0,1056,107072
24,128,3,1,3584,32,5,0,102432,64,1,1,2112,108128
25,128,3,1,3584,256,1,1,33024,256,3,0,590080,626688
26,128,3,1,3584,32,3,1,36896,32,5,2,25632,66112
27,128,3,1,3584,256,5,0,819456,64,3,2,147520,970560
28,128,3,1,3584,128,5,0,409728,64,1,2,8256,421568
29,128,3,1,3584,64,5,0,204864,256,3,1,147712,356160
30,128,3,1,3584,64,5,0,204864,64,1,0,4160,212608
31,128,3,1,3584,256,5,0,819456,256,1,1,65792,888832
32,128,3,1,3584,16,5,0,51216,128,5,2,51328,106128
33,128,3,1,3584,64,5,0,204864,32,5,1,51232,259680
34,128,3,1,3584,256,1,0,33024,128,1,2,32896,69504
35,128,3,1,3584,16,3,2,18448,64,1,2,1088,23120
36,128,3,1,3584,16,5,0,51216,64,1,0,1088,55888
37,128,3,1,3584,64,1,0,8256,32,1,0,2080,13920
38,128,3,1,3584,16,3,0,18448,128,3,2,18560,40592
39,128,3,1,3584,64,3,0,73792,256,5,1,409856,487232
40,128,3,1,3584,32,5,2,102432,16,3,0,4624,110640
41,128,3,1,3584,32,5,2,102432,256,3,2,73984,180000
42,128,3,1,3584,128,5,2,409728,128,5,1,409728,823040
43,128,3,1,3584,32,3,2,36896,32,5,2,25632,66112
44,128,3,1,3584,128,5,0,409728,128,3,1,147584,560896
45,128,3,1,3584,64,3,0,73792,64,3,2,36928,114304
46,128,3,1,3584,64,3,0,73792,128,5,1,204928,282304
47,128,3,1,3584,64,1,0,8256,32,3,2,18464,30304
48,128,3,1,3584,16,1,2,2064,128,5,0,51328,56976
49,128,3,1,3584,32,3,2,36896,16,3,2,4624,45104
50,128,3,1,3584,64,1,2,8256,64,5,0,102464,114304
51,128,3,1,3584,256,3,2,295168,128,1,0,32896,331648
52,128,3,1,3584,16,5,0,51216,64,3,0,9280,64080
