iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
0,128,3,1,3584,64,1,0,8256,256,5,0,409856,421696
1,128,3,1,3584,64,1,2,8256,64,5,0,102464,114304
2,128,3,1,3584,32,1,1,4128,64,1,1,2112,9824
3,128,3,1,3584,256,1,2,33024,32,5,0,204832,241440
4,128,3,1,3584,128,1,2,16512,16,1,2,2064,22160
5,128,3,1,3584,256,1,1,33024,256,3,2,590080,626688
6,128,3,1,3584,256,5,0,819456,64,5,0,409664,1232704
7,128,3,1,3584,32,1,2,4128,16,5,0,12816,20528
8,128,3,1,3584,64,1,0,8256,256,1,0,16640,28480
9,128,3,1,3584,256,1,2,33024,256,3,2,590080,626688
10,128,3,1,3584,256,1,2,33024,64,3,0,147520,184128
11,128,3,1,3584,128,5,0,409728,128,5,2,409728,823040
12,128,3,1,3584,128,5,1,409728,32,5,1,102432,515744
13,128,3,1,3584,32,3,2,36896,16,5,0,12816,53296
14,128,3,1,3584,32,1,0,4128,128,5,0,102528,110240
15,128,3,1,3584,256,5,2,819456,128,5,1,819328,1642368
16,128,3,1,3584,32,5,2,102432,128,5,1,102528,208544
17,128,3,1,3584,64,3,2,73792,64,3,0,36928,114304
18,128,3,1,3584,32,5,2,102432,32,3,0,9248,115264
19,128,3,1,3584,16,5,2,51216,256,1,0,4352,59152
20,128,3,1,3584,128,5,2,409728,64,1,0,8256,421568
21,128,3,1,3584,16,5,2,51216,128,5,1,51328,106128
22,128,3,1,3584,16,1,0,2064,32,1,0,544,6192
23,128,3,1,3584,16,1,0,2064,64,5,0,25664,31312
24,128,3,1,3584,256,5,2,819456,32,1,2,8224,831264
25,128,3,1,3584,32,1,2,4128,64,5,1,51264,58976
26,128,3,1,3584,128,1,1,16512,256,5,2,819456,839552
27,128,3,1,3584,128,1,2,16512,32,5,0,102432,122528
28,128,3,1,3584,128,5,1,409728,16,5,0,51216,464528
29,128,3,1,3584,64,1,2,8256,16,1,1,1040,12880
30,128,3,1,3584,32,1,0,4128,16,1,1,528,8240
31,128,3,1,3584,256,1,2,33024,32,5,1,204832,241440
32,128,3,1,3584,64,3,1,73792,32,3,2,18464,95840
33,128,3,1,3584,256,1,2,33024,128,3,0,295040,331648
34,128,3,1,3584,256,1,0,33024,256,5,1,1638656,1675264
35,128,3,1,3584,256,1,1,33024,32,1,2,8224,44832
36,128,3,1,3584,256,3,2,295168,64,5,2,409664,708416
37,128,3,1,3584,128,5,0,409728,256,3,0,295168,708480
38,128,3,1,3584,128,1,2,16512,128,3,0,147584,167680
39,128,3,1,3584,256,1,2,33024,64,5,0,409664,446272
40,128,3,1,3584,64,1,0,8256,256,1,1,16640,28480
41,128,3,1,3584,64,1,2,8256,128,5,0,204928,216768
42,128,3,1,3584,32,1,0,4128,64,3,0,18496,26208
43,128,3,1,3584,32,5,0,102432,64,1,1,2112,108128
44,128,3,1,3584,16,1,2,2064,64,5,0,25664,31312
45,128,3,1,3584,256,5,1,819456,256,5,0,1638656,2461696
46,128,3,1,3584,128,1,2,16512,256,1,1,33024,53120
47,128,3,1,3584,256,5,1,819456,64,3,0,147520,970560
48,128,3,1,3584,128,5,1,409728,64,5,0,204864,618176
49,128,3,1,3584,64,1,2,8256,128,3,2,73856,85696
50,128,3,1,3584,64,1,0,8256,256,1,1,16640,28480
51,128,3,1,3584,32,1,0,4128,256,5,0,205056,212768
52,128,3,1,3584,16,3,2,18448,32,5,1,12832,34864
53,128,3,1,3584,64,5,0,204864,16,3,0,9232,217680
54,128,3,1,3584,64,1,1,8256,32,5,0,51232,63072
55,128,3,1,3584,64,5,1,204864,32,5,2,51232,259680
56,128,3,1,3584,256,1,0,33024,128,1,0,32896,69504
57,128,3,1,3584,256,5,2,819456,128,1,2,32896,855936
58,128,3,1,3584,64,1,1,8256,64,1,2,4160,16000
59,128,3,1,3584,128,1,2,16512,128,3,0,147584,167680
60,128,3,1,3584,128,1,1,16512,16,1,0,2064,22160
61,128,3,1,3584,128,5,1,409728,128,5,1,409728,823040
62,128,3,1,3584,128,1,0,16512,64,5,0,204864,224960
63,128,3,1,3584,256,3,1,295168,256,1,0,65792,364544
64,128,3,1,3584,64,1,1,8256,64,3,0,36928,48768
65,128,3,1,3584,32,1,2,4128,64,5,1,51264,58976
66,128,3,1,3584,16,5,2,51216,32,1,0,544,55344
67,128,3,1,3584,128,1,2,16512,32,5,2,102432,122528
68,128,3,1,3584,256,1,2,33024,64,3,1,147520,184128
69,128,3,1,3584,128,1,1,16512,64,5,2,204864,224960
70,128,3,1,3584,16,5,0,51216,16,5,2,6416,61216
71,128,3,1,3584,64,1,2,8256,128,3,1,73856,85696
72,128,3,1,3584,32,1,2,4128,64,5,0,51264,58976
73,128,3,1,3584,256,1,1,33024,256,3,0,590080,626688
74,128,3,1,3584,32,5,2,102432,64,5,2,51264,157280
75,128,3,1,3584,256,1,1,33024,256,5,2,1638656,1675264
76,128,3,1,3584,256,1,0,33024,256,3,1,590080,626688
77,128,3,1,3584,64,3,0,73792,64,3,1,36928,114304
78,128,3,1,3584,32,1,2,4128,128,1,2,4224,11936
79,128,3,1,3584,32,1,1,4128,256,5,0,205056,212768
80,128,3,1,3584,256,1,2,33024,64,5,1,409664,446272
81,128,3,1,3584,64,5,2,204864,32,1,2,2080,210528
82,128,3,1,3584,128,3,1,147584,256,5,2,819456,970624
83,128,3,1,3584,128,5,1,409728,256,1,1,33024,446336
84,128,3,1,3584,256,1,2,33024,64,5,0,409664,446272
85,128,3,1,3584,256,1,1,33024,256,3,1,590080,626688
86,128,3,1,3584,64,5,0,204864,64,5,2,102464,310912
87,128,3,1,3584,256,3,2,295168,64,1,2,16448,315200
88,128,3,1,3584,256,1,0,33024,16,5,0,102416,139024
89,128,3,1,3584,64,3,0,73792,128,1,2,8320,85696
90,128,3,1,3584,256,3,0,295168,64,5,0,409664,708416
91,128,3,1,3584,128,5,2,409728,128,1,2,16512,429824
92,128,3,1,3584,16,1,2,2064,32,3,2,4640,10288
93,128,3,1,3584,64,1,2,8256,256,5,1,409856,421696
94,128,3,1,3584,64,5,0,204864,32,5,2,51232,259680
95,128,3,1,3584,16,1,2,2064,64,1,0,1088,6736
96,128,3,1,3584,32,5,2,102432,64,3,2,18496,124512
97,128,3,1,3584,256,1,1,33024,16,1,2,4112,40720
98,128,3,1,3584,64,1,2,8256,128,3,1,73856,85696
99,128,3,1,3584,128,3,2,147584,64,5,0,204864,356032
100,128,3,1,3584,64,3,2,73792,64,5,1,102464,179840
101,128,3,1,3584,32,3,1,36896,256,1,0,8448,48928
102,128,3,1,3584,64,1,2,8256,64,5,2,102464,114304
103,128,3,1,3584,128,3,2,147584,32,3,0,36896,188064
104,128,3,1,3584,32,3,2,36896,64,5,0,51264,91744
105,128,3,1,3584,16,5,1,51216,16,5,0,6416,61216
106,128,3,1,3584,256,5,2,819456,64,5,1,409664,1232704
107,128,3,1,3584,128,5,0,409728,256,1,1,33024,446336
108,128,3,1,3584,256,5,2,819456,256,3,1,590080,1413120
109,128,3,1,3584,256,3,0,295168,16,5,2,102416,401168
110,128,3,1,3584,256,5,2,819456,256,1,0,65792,888832
