iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
0,128,3,1,3584,64,5,2,204864,16,1,1,1040,209488
1,128,3,1,3584,128,3,2,147584,16,3,0,18448,169616
2,128,3,1,3584,16,3,1,18448,256,5,2,102656,124688
3,128,3,1,3584,128,1,2,16512,16,5,2,51216,71312
4,128,3,1,3584,256,3,2,295168,128,3,0,295040,593792
5,128,3,1,3584,64,3,0,73792,64,3,0,36928,114304
6,128,3,1,3584,64,3,0,73792,128,3,0,73856,151232
7,128,3,1,3584,32,3,2,36896,128,3,1,36992,77472
8,128,3,1,3584,256,1,2,33024,32,3,1,73760,110368
9,128,3,1,3584,64,1,2,8256,128,5,0,204928,216768
10,128,3,1,3584,32,3,0,36896,128,1,0,4224,44704
11,128,3,1,3584,256,3,1,295168,16,3,1,36880,335632
12,128,3,1,3584,16,1,2,2064,32,5,2,12832,18480
13,128,3,1,3584,128,1,2,16512,128,5,2,409728,429824
14,128,3,1,3584,32,3,0,36896,256,5,0,205056,245536
15,128,3,1,3584,16,3,1,18448,64,5,2,25664,47696
16,128,3,1,3584,64,5,2,204864,128,3,0,73856,282304
17,128,3,1,3584,256,1,2,33024,16,3,2,36880,73488
18,128,3,1,3584,256,3,0,295168,32,3,0,73760,372512
19,128,3,1,3584,32,3,1,36896,256,3,2,73984,114464
20,128,3,1,3584,32,1,0,4128,256,3,1,73984,81696
21,128,3,1,3584,256,1,1,33024,128,1,0,32896,69504
22,128,3,1,3584,16,1,0,2064,128,3,0,18560,24208
23,128,3,1,3584,64,1,1,8256,32,3,1,18464,30304
24,128,3,1,3584,32,5,2,102432,32,3,0,9248,115264
25,128,3,1,3584,256,1,2,33024,32,3,2,73760,110368
26,128,3,1,3584,64,3,1,73792,128,5,2,204928,282304
27,128,3,1,3584,128,1,0,16512,128,1,1,16512,36608
28,128,3,1,3584,256,1,1,33024,128,5,2,819328,855936
29,128,3,1,3584,16,5,1,51216,32,3,0,4640,59440
30,128,3,1,3584,256,3,2,295168,128,3,1,295040,593792
31,128,3,1,3584,16,1,1,2064,64,1,2,1088,6736
32,128,3,1,3584,16,5,0,51216,16,1,1,272,55072
33,128,3,1,3584,32,3,0,36896,64,3,0,18496,58976
34,128,3,1,3584,64,1,2,8256,16,3,1,9232,21072
35,128,3,1,3584,128,3,0,147584,128,5,1,409728,560896
36,128,3,1,3584,16,5,2,51216,128,5,2,51328,106128
37,128,3,1,3584,64,5,2,204864,16,3,1,9232,217680
38,128,3,1,3584,16,3,2,18448,128,3,2,18560,40592
39,128,3,1,3584,128,3,2,147584,256,3,2,295168,446336
40,128,3,1,3584,32,3,2,36896,256,3,0,73984,114464
41,128,3,1,3584,64,1,2,8256,64,5,2,102464,114304
42,128,3,1,3584,256,1,2,33024,256,3,0,590080,626688
43,128,3,1,3584,256,5,1,819456,64,3,2,147520,970560
44,128,3,1,3584,32,3,1,36896,256,3,0,73984,114464
45,128,3,1,3584,256,3,1,295168,128,1,0,32896,331648
46,128,3,1,3584,256,1,2,33024,32,3,0,73760,110368
47,128,3,1,3584,128,3,0,147584,32,1,2,4128,155296
48,128,3,1,3584,64,3,2,73792,64,5,2,102464,179840
49,128,3,1,3584,256,1,0,33024,64,1,0,16448,53056
50,128,3,1,3584,128,1,0,16512,16,3,0,18448,38544
51,128,3,1,3584,32,3,2,36896,128,5,0,102528,143008
52,128,3,1,3584,32,3,0,36896,128,3,1,36992,77472
53,128,3,1,3584,64,1,2,8256,256,3,0,147712,159552
54,128,3,1,3584,16,5,2,51216,64,1,2,1088,55888
55,128,3,1,3584,256,3,0,295168,64,3,0,147520,446272
56,128,3,1,3584,16,5,1,51216,64,5,0,25664,80464
57,128,3,1,3584,16,3,2,18448,128,3,0,18560,40592
58,128,3,1,3584,128,5,0,409728,32,1,2,4128,417440
59,128,3,1,3584,16,3,2,18448,32,1,0,544,22576
60,128,3,1,3584,128,3,0,147584,32,1,0,4128,155296
61,128,3,1,3584,256,5,2,819456,64,5,0,409664,1232704
62,128,3,1,3584,16,3,0,18448,256,3,0,37120,59152
63,128,3,1,3584,256,1,2,33024,128,1,2,32896,69504
64,128,3,1,3584,128,5,0,409728,64,1,1,8256,421568
65,128,3,1,3584,256,1,0,33024,64,3,1,147520,184128
66,128,3,1,3584,128,3,1,147584,64,5,1,204864,356032
67,128,3,1,3584,128,5,1,409728,16,5,1,51216,464528
68,128,3,1,3584,64,5,0,204864,256,5,0,409856,618304
69,128,3,1,3584,64,3,1,73792,128,3,1,73856,151232
