iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
0,128,3,1,3584,256,1,2,33024,256,1,0,65792,102400
1,128,3,1,3584,64,1,0,8256,128,5,1,204928,216768
2,128,3,1,3584,128,1,1,16512,32,3,0,36896,56992
3,128,3,1,3584,16,5,0,51216,128,5,2,51328,106128
4,128,3,1,3584,128,1,0,16512,64,5,0,204864,224960
5,128,3,1,3584,256,3,2,295168,256,3,0,590080,888832
6,128,3,1,3584,128,5,2,409728,128,1,2,16512,429824
7,128,3,1,3584,256,1,2,33024,16,3,2,36880,73488
8,128,3,1,3584,32,1,2,4128,64,3,2,18496,26208
9,128,3,1,3584,256,3,2,295168,256,3,0,590080,888832
10,128,3,1,3584,32,5,1,102432,128,1,0,4224,110240
11,128,3,1,3584,64,1,2,8256,32,5,0,51232,63072
12,128,3,1,3584,16,1,0,2064,32,1,0,544,6192
13,128,3,1,3584,16,3,0,18448,64,5,0,25664,47696
14,128,3,1,3584,128,1,2,16512,16,1,0,2064,22160
15,128,3,1,3584,16,3,2,18448,32,1,0,544,22576
16,128,3,1,3584,32,1,0,4128,32,3,1,9248,16960
17,128,3,1,3584,128,1,2,16512,128,1,0,16512,36608
18,128,3,1,3584,16,1,2,2064,128,1,0,2176,7824
19,128,3,1,3584,128,3,0,147584,32,1,1,4128,155296
20,128,3,1,3584,32,3,2,36896,16,3,0,4624,45104
21,128,3,1,3584,32,1,0,4128,128,1,1,4224,11936
22,128,3,1,3584,32,1,1,4128,256,1,0,8448,16160
23,128,3,1,3584,256,5,2,819456,128,5,2,819328,1642368
24,128,3,1,3584,128,5,0,409728,256,5,0,819456,1232768
25,128,3,1,3584,128,3,0,147584,32,3,2,36896,188064
26,128,3,1,3584,128,5,2,409728,16,5,0,51216,464528
27,128,3,1,3584,64,1,0,8256,64,5,1,102464,114304
28,128,3,1,3584,256,1,0,33024,32,5,0,204832,241440
29,128,3,1,3584,64,5,2,204864,256,3,0,147712,356160
30,128,3,1,3584,64,3,0,73792,64,5,1,102464,179840
31,128,3,1,3584,16,5,0,51216,16,5,0,6416,61216
32,128,3,1,3584,64,1,1,8256,128,3,0,73856,85696
33,128,3,1,3584,128,3,2,147584,32,5,0,102432,253600
34,128,3,1,3584,64,3,2,73792,256,5,1,409856,487232
35,128,3,1,3584,256,5,0,819456,16,3,0,36880,859920
36,128,3,1,3584,16,5,0,51216,128,3,0,18560,73360
37,128,3,1,3584,64,3,2,73792,64,5,0,102464,179840
38,128,3,1,3584,64,1,2,8256,32,1,0,2080,13920
39,128,3,1,3584,128,3,2,147584,32,1,0,4128,155296
40,128,3,1,3584,128,5,0,409728,16,3,1,18448,431760
41,128,3,1,3584,32,5,2,102432,128,3,0,36992,143008
