iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
0,128,3,1,3584,64,3,1,73792,64,3,1,36928,114304
1,128,3,1,3584,16,5,0,51216,64,1,1,1088,55888
2,128,3,1,3584,64,1,1,8256,32,1,2,2080,13920
3,128,3,1,3584,32,3,1,36896,32,1,0,1056,41536
4,128,3,1,3584,16,5,2,51216,64,3,1,9280,64080
5,128,3,1,3584,16,5,1,51216,128,3,1,18560,73360
6,128,3,1,3584,64,1,0,8256,16,1,0,1040,12880
7,128,3,1,3584,128,3,1,147584,16,5,0,51216,202384
8,128,3,1,3584,16,3,2,18448,128,3,2,18560,40592
9,128,3,1,3584,256,3,1,295168,32,1,0,8224,306976
10,128,3,1,3584,128,3,0,147584,256,1,1,33024,184192
11,128,3,1,3584,16,3,1,18448,16,3,0,2320,24352
12,128,3,1,3584,64,1,0,8256,256,1,1,16640,28480
13,128,3,1,3584,64,5,1,204864,32,3,1,18464,226912
14,128,3,1,3584,16,5,1,51216,64,3,1,9280,64080
15,128,3,1,3584,16,3,1,18448,32,1,2,544,22576
16,128,3,1,3584,64,1,1,8256,64,3,0,36928,48768
17,128,3,1,3584,32,5,0,102432,256,3,1,73984,180000
18,128,3,1,3584,16,5,1,51216,256,1,1,4352,59152
19,128,3,1,3584,32,3,0,36896,32,1,2,1056,41536
20,128,3,1,3584,16,5,1,51216,32,5,0,12832,67632
21,128,3,1,3584,128,5,0,409728,16,5,1,51216,464528
22,128,3,1,3584,128,3,2,147584,32,5,0,102432,253600
23,128,3,1,3584,16,1,0,2064,64,3,2,9280,14928
24,128,3,1,3584,256,3,2,295168,64,5,2,409664,708416
25,128,3,1,3584,64,3,2,73792,256,3,1,147712,225088
26,128,3,1,3584,16,1,1,2064,32,3,1,4640,10288
27,128,3,1,3584,256,3,1,295168,32,1,1,8224,306976
28,128,3,1,3584,32,3,2,36896,16,5,1,12816,53296
29,128,3,1,3584,64,1,0,8256,32,5,2,51232,63072
30,128,3,1,3584,256,3,1,295168,16,1,0,4112,302864
31,128,3,1,3584,16,1,2,2064,32,5,1,12832,18480
32,128,3,1,3584,128,1,0,16512,64,1,0,8256,28352
33,128,3,1,3584,16,1,1,2064,128,1,1,2176,7824
34,128,3,1,3584,64,5,0,204864,128,3,2,73856,282304
35,128,3,1,3584,64,1,1,8256,32,3,0,18464,30304
36,128,3,1,3584,64,3,0,73792,64,3,2,36928,114304
37,128,3,1,3584,256,3,1,295168,64,3,2,147520,446272
38,128,3,1,3584,16,5,0,51216,64,3,0,9280,64080
39,128,3,1,3584,64,1,1,8256,32,1,0,2080,13920
40,128,3,1,3584,16,3,0,18448,16,1,0,272,22304
41,128,3,1,3584,16,1,2,2064,256,3,0,37120,42768
42,128,3,1,3584,16,1,1,2064,16,3,1,2320,7968
43,128,3,1,3584,64,3,0,73792,256,1,2,16640,94016
44,128,3,1,3584,64,1,0,8256,32,1,1,2080,13920
45,128,3,1,3584,128,1,2,16512,64,3,0,73792,93888
46,128,3,1,3584,128,1,0,16512,32,1,1,4128,24224
47,128,3,1,3584,16,3,1,18448,32,3,1,4640,26672
48,128,3,1,3584,16,3,1,18448,32,1,0,544,22576
49,128,3,1,3584,128,3,1,147584,64,1,0,8256,159424
50,128,3,1,3584,256,5,1,819456,256,3,1,590080,1413120
51,128,3,1,3584,16,3,0,18448,16,1,1,272,22304
52,128,3,1,3584,64,1,1,8256,256,1,1,16640,28480
53,128,3,1,3584,64,1,1,8256,256,3,2,147712,159552
54,128,3,1,3584,256,3,0,295168,32,3,0,73760,372512
55,128,3,1,3584,256,3,0,295168,16,1,0,4112,302864
56,128,3,1,3584,256,1,0,33024,64,3,1,147520,184128
57,128,3,1,3584,256,3,0,295168,64,3,2,147520,446272
58,128,3,1,3584,256,3,0,295168,256,3,2,590080,888832
59,128,3,1,3584,128,3,0,147584,32,5,1,102432,253600
60,128,3,1,3584,128,3,0,147584,32,3,1,36896,188064
61,128,3,1,3584,256,1,1,33024,64,3,1,147520,184128
62,128,3,1,3584,64,3,2,73792,128,1,1,8320,85696
63,128,3,1,3584,128,5,1,409728,128,5,1,409728,823040
64,128,3,1,3584,32,3,0,36896,32,3,1,9248,49728
65,128,3,1,3584,16,1,2,2064,32,1,2,544,6192
66,128,3,1,3584,64,5,1,204864,256,1,2,16640,225088
67,128,3,1,3584,64,5,1,204864,32,3,2,18464,226912
68,128,3,1,3584,64,3,0,73792,32,3,1,18464,95840
69,128,3,1,3584,64,5,0,204864,128,5,1,204928,413376
70,128,3,1,3584,256,3,0,295168,16,3,1,36880,335632
71,128,3,1,3584,64,3,0,73792,256,1,1,16640,94016
72,128,3,1,3584,256,3,0,295168,256,3,2,590080,888832
73,128,3,1,3584,64,3,2,73792,64,3,1,36928,114304
74,128,3,1,3584,16,3,0,18448,64,1,0,1088,23120
75,128,3,1,3584,16,3,1,18448,128,1,1,2176,24208
76,128,3,1,3584,128,1,1,16512,64,5,1,204864,224960
77,128,3,1,3584,128,5,1,409728,16,1,0,2064,415376
78,128,3,1,3584,128,3,2,147584,128,1,1,16512,167680
79,128,3,1,3584,64,1,0,8256,16,1,2,1040,12880
80,128,3,1,3584,32,3,0,36896,64,1,1,2112,42592
81,128,3,1,3584,64,5,1,204864,16,1,1,1040,209488
82,128,3,1,3584,256,3,0,295168,32,3,0,73760,372512
83,128,3,1,3584,64,1,2,8256,16,1,1,1040,12880
84,128,3,1,3584,32,3,2,36896,128,1,2,4224,44704
85,128,3,1,3584,16,5,0,51216,64,3,0,9280,64080
86,128,3,1,3584,16,3,1,18448,256,1,0,4352,26384
87,128,3,1,3584,128,3,2,147584,128,3,0,147584,298752
88,128,3,1,3584,256,3,2,295168,32,3,0,73760,372512
89,128,3,1,3584,256,3,1,295168,256,5,1,1638656,1937408
90,128,3,1,3584,16,3,1,18448,64,1,0,1088,23120
91,128,3,1,3584,128,5,1,409728,32,3,2,36896,450208
92,128,3,1,3584,256,1,1,33024,64,3,2,147520,184128
93,128,3,1,3584,128,3,0,147584,16,3,1,18448,169616
94,128,3,1,3584,256,3,2,295168,256,3,1,590080,888832
95,128,3,1,3584,64,3,1,73792,64,3,1,36928,114304
96,128,3,1,3584,64,3,0,73792,256,3,1,147712,225088
97,128,3,1,3584,32,3,0,36896,64,5,0,51264,91744
98,128,3,1,3584,64,3,0,73792,64,3,1,36928,114304
99,128,3,1,3584,256,5,0,819456,256,3,2,590080,1413120
100,128,3,1,3584,16,1,1,2064,128,3,1,18560,24208
101,128,3,1,3584,256,3,0,295168,32,5,1,204832,503584
102,128,3,1,3584,16,3,0,18448,256,3,1,37120,59152
103,128,3,1,3584,64,3,2,73792,256,1,1,16640,94016
104,128,3,1,3584,16,5,1,51216,16,5,0,6416,61216
105,128,3,1,3584,32,5,2,102432,128,1,0,4224,110240
106,128,3,1,3584,64,5,0,204864,256,5,2,409856,618304
107,128,3,1,3584,32,1,1,4128,256,3,2,73984,81696
108,128,3,1,3584,16,3,1,18448,32,5,1,12832,34864
109,128,3,1,3584,256,5,2,819456,256,3,2,590080,1413120
110,128,3,1,3584,128,3,0,147584,256,5,0,819456,970624
111,128,3,1,3584,64,3,2,73792,16,1,1,1040,78416
112,128,3,1,3584,256,5,1,819456,32,3,0,73760,896800
113,128,3,1,3584,128,3,2,147584,32,3,1,36896,188064
114,128,3,1,3584,64,3,1,73792,128,1,0,8320,85696
115,128,3,1,3584,32,3,1,36896,256,3,2,73984,114464
116,128,3,1,3584,16,1,1,2064,256,1,1,4352,10000
117,128,3,1,3584,128,5,0,409728,32,1,2,4128,417440
118,128,3,1,3584,16,1,0,2064,256,3,0,37120,42768
119,128,3,1,3584,128,5,1,409728,128,3,1,147584,560896
120,128,3,1,3584,64,5,1,204864,128,1,1,8320,216768
121,128,3,1,3584,128,3,1,147584,64,3,1,73792,224960
122,128,3,1,3584,64,1,1,8256,32,3,2,18464,30304
123,128,3,1,3584,256,3,1,295168,128,1,2,32896,331648
124,128,3,1,3584,256,1,2,33024,128,3,1,295040,331648
125,128,3,1,3584,128,5,1,409728,32,3,1,36896,450208
126,128,3,1,3584,64,3,0,73792,256,3,1,147712,225088
127,128,3,1,3584,16,5,1,51216,64,3,0,9280,64080
128,128,3,1,3584,32,3,1,36896,64,1,2,2112,42592
129,128,3,1,3584,256,1,2,33024,256,1,1,65792,102400
130,128,3,1,3584,256,3,2,295168,256,3,0,590080,888832
131,128,3,1,3584,32,3,0,36896,16,1,0,528,41008
132,128,3,1,3584,32,1,0,4128,16,1,0,528,8240
133,128,3,1,3584,32,1,1,4128,128,3,2,36992,44704
134,128,3,1,3584,16,5,1,51216,256,3,1,37120,91920
135,128,3,1,3584,64,3,1,73792,64,1,1,4160,81536
136,128,3,1,3584,256,1,1,33024,256,3,0,590080,626688
137,128,3,1,3584,16,5,0,51216,256,3,0,37120,91920
138,128,3,1,3584,32,3,1,36896,128,1,0,4224,44704
139,128,3,1,3584,64,3,1,73792,256,1,1,16640,94016
140,128,3,1,3584,256,1,0,33024,64,1,1,16448,53056
141,128,3,1,3584,128,3,0,147584,256,3,2,295168,446336
142,128,3,1,3584,64,5,1,204864,32,5,2,51232,259680
143,128,3,1,3584,64,1,1,8256,256,1,1,16640,28480
144,128,3,1,3584,16,1,0,2064,256,3,0,37120,42768
145,128,3,1,3584,32,1,1,4128,256,1,2,8448,16160
146,128,3,1,3584,16,3,0,18448,32,1,0,544,22576
147,128,3,1,3584,16,1,1,2064,128,3,0,18560,24208
148,128,3,1,3584,128,3,2,147584,64,3,2,73792,224960
149,128,3,1,3584,64,3,1,73792,128,1,2,8320,85696
150,128,3,1,3584,256,1,2,33024,128,1,0,32896,69504
151,128,3,1,3584,256,3,1,295168,128,1,0,32896,331648
152,128,3,1,3584,64,3,0,73792,64,3,0,36928,114304
153,128,3,1,3584,64,3,1,73792,256,3,1,147712,225088
154,128,3,1,3584,32,3,1,36896,16,1,0,528,41008
155,128,3,1,3584,16,1,2,2064,64,3,1,9280,14928
156,128,3,1,3584,64,3,1,73792,256,1,2,16640,94016
157,128,3,1,3584,32,3,1,36896,32,3,1,9248,49728
158,128,3,1,3584,256,3,0,295168,16,3,2,36880,335632
159,128,3,1,3584,256,3,1,295168,256,3,1,590080,888832
160,128,3,1,3584,32,3,0,36896,128,3,1,36992,77472
161,128,3,1,3584,256,3,2,295168,32,1,0,8224,306976
162,128,3,1,3584,256,3,2,295168,16,3,2,36880,335632
163,128,3,1,3584,16,1,1,2064,128,3,1,18560,24208
164,128,3,1,3584,256,3,0,295168,256,3,1,590080,888832
165,128,3,1,3584,16,3,1,18448,16,5,2,6416,28448
166,128,3,1,3584,32,3,1,36896,256,3,1,73984,114464
167,128,3,1,3584,128,1,1,16512,128,1,2,16512,36608
168,128,3,1,3584,256,3,2,295168,128,3,1,295040,593792
169,128,3,1,3584,32,3,1,36896,128,1,2,4224,44704
170,128,3,1,3584,64,1,0,8256,16,3,0,9232,21072
171,128,3,1,3584,256,3,0,295168,64,3,2,147520,446272
172,128,3,1,3584,256,1,1,33024,32,3,1,73760,110368
173,128,3,1,3584,128,3,0,147584,32,3,1,36896,188064
174,128,3,1,3584,256,3,2,295168,256,1,2,65792,364544
175,128,3,1,3584,64,3,1,73792,64,3,0,36928,114304
176,128,3,1,3584,256,3,2,295168,128,3,0,295040,593792
177,128,3,1,3584,256,3,1,295168,128,3,1,295040,593792
178,128,3,1,3584,16,3,0,18448,256,1,0,4352,26384
179,128,3,1,3584,16,3,1,18448,64,3,1,9280,31312
180,128,3,1,3584,256,3,2,295168,128,1,0,32896,331648
181,128,3,1,3584,256,3,0,295168,128,3,1,295040,593792
182,128,3,1,3584,256,3,1,295168,64,3,1,147520,446272
183,128,3,1,3584,256,3,2,295168,128,1,0,32896,331648
184,128,3,1,3584,32,1,0,4128,64,5,1,51264,58976
185,128,3,1,3584,64,3,1,73792,256,1,2,16640,94016
186,128,3,1,3584,16,3,1,18448,64,3,2,9280,31312
187,128,3,1,3584,128,1,2,16512,16,3,1,18448,38544
188,128,3,1,3584,64,1,0,8256,128,5,1,204928,216768
189,128,3,1,3584,64,1,1,8256,64,3,1,36928,48768
190,128,3,1,3584,64,3,1,73792,32,5,1,51232,128608
191,128,3,1,3584,256,3,1,295168,128,1,2,32896,331648
192,128,3,1,3584,128,3,2,147584,64,1,1,8256,159424
193,128,3,1,3584,32,3,2,36896,128,3,0,36992,77472
194,128,3,1,3584,64,3,1,73792,128,3,1,73856,151232
195,128,3,1,3584,256,1,1,33024,32,5,1,204832,241440
196,128,3,1,3584,64,3,2,73792,128,3,1,73856,151232
197,128,3,1,3584,256,3,0,295168,64,3,1,147520,446272
198,128,3,1,3584,16,3,1,18448,32,3,1,4640,26672
199,128,3,1,3584,64,1,2,8256,256,5,2,409856,421696
200,128,3,1,3584,256,3,1,295168,64,3,1,147520,446272
201,128,3,1,3584,256,5,2,819456,256,1,1,65792,888832
202,128,3,1,3584,256,3,1,295168,32,1,1,8224,306976
203,128,3,1,3584,32,5,1,102432,64,1,1,2112,108128
204,128,3,1,3584,128,5,1,409728,32,3,2,36896,450208
205,128,3,1,3584,64,3,1,73792,64,5,2,102464,179840
206,128,3,1,3584,128,1,0,16512,64,3,1,73792,93888
207,128,3,1,3584,64,3,0,73792,128,1,2,8320,85696
208,128,3,1,3584,256,5,0,819456,128,3,1,295040,1118080
209,128,3,1,3584,16,3,1,18448,128,5,1,51328,73360
210,128,3,1,3584,32,3,1,36896,256,1,1,8448,48928
211,128,3,1,3584,256,3,2,295168,64,1,0,16448,315200
212,128,3,1,3584,256,3,1,295168,128,5,2,819328,1118080
213,128,3,1,3584,256,1,1,33024,64,1,2,16448,53056
214,128,3,1,3584,64,3,1,73792,128,3,0,73856,151232
215,128,3,1,3584,256,3,1,295168,256,3,1,590080,888832
216,128,3,1,3584,256,3,0,295168,16,3,1,36880,335632
217,128,3,1,3584,256,3,0,295168,256,5,1,1638656,1937408
218,128,3,1,3584,32,5,2,102432,256,3,2,73984,180000
219,128,3,1,3584,256,1,2,33024,32,3,2,73760,110368
220,128,3,1,3584,256,3,1,295168,256,3,0,590080,888832
221,128,3,1,3584,128,3,1,147584,16,3,0,18448,169616
222,128,3,1,3584,64,3,1,73792,256,3,2,147712,225088
223,128,3,1,3584,32,1,1,4128,64,3,1,18496,26208
224,128,3,1,3584,16,3,1,18448,256,3,0,37120,59152
225,128,3,1,3584,32,3,1,36896,64,3,1,18496,58976
226,128,3,1,3584,128,3,2,147584,64,3,2,73792,224960
227,128,3,1,3584,256,3,1,295168,128,3,1,295040,593792
228,128,3,1,3584,32,3,2,36896,16,3,2,4624,45104
229,128,3,1,3584,256,3,0,295168,256,1,1,65792,364544
230,128,3,1,3584,64,1,2,8256,256,3,1,147712,159552
231,128,3,1,3584,256,3,1,295168,256,1,1,65792,364544
232,128,3,1,3584,64,3,2,73792,128,1,1,8320,85696
233,128,3,1,3584,256,3,1,295168,256,5,2,1638656,1937408
234,128,3,1,3584,64,3,1,73792,16,1,1,1040,78416
235,128,3,1,3584,256,3,1,295168,256,3,1,590080,888832
236,128,3,1,3584,256,3,2,295168,64,3,2,147520,446272
237,128,3,1,3584,128,3,1,147584,256,3,2,295168,446336
238,128,3,1,3584,256,3,1,295168,256,3,1,590080,888832
239,128,3,1,3584,16,1,1,2064,256,3,1,37120,42768
240,128,3,1,3584,256,3,2,295168,64,3,0,147520,446272
241,128,3,1,3584,256,3,2,295168,64,3,0,147520,446272
242,128,3,1,3584,32,1,1,4128,256,3,1,73984,81696
243,128,3,1,3584,64,3,1,73792,128,3,2,73856,151232
244,128,3,1,3584,256,3,2,295168,256,3,2,590080,888832
245,128,3,1,3584,256,3,1,295168,256,3,2,590080,888832
246,128,3,1,3584,256,3,1,295168,32,3,1,73760,372512
247,128,3,1,3584,256,3,1,295168,256,1,1,65792,364544
248,128,3,1,3584,16,3,2,18448,16,3,1,2320,24352
249,128,3,1,3584,256,1,1,33024,32,1,1,8224,44832
250,128,3,1,3584,256,1,2,33024,32,1,0,8224,44832
251,128,3,1,3584,256,3,2,295168,256,5,1,1638656,1937408
252,128,3,1,3584,256,3,0,295168,16,1,0,4112,302864
253,128,3,1,3584,64,1,1,8256,256,1,1,16640,28480
254,128,3,1,3584,128,3,2,147584,32,3,1,36896,188064
255,128,3,1,3584,256,5,1,819456,256,1,0,65792,888832
256,128,3,1,3584,128,3,2,147584,64,3,1,73792,224960
257,128,3,1,3584,256,3,0,295168,128,3,0,295040,593792
258,128,3,1,3584,256,1,1,33024,64,3,1,147520,184128
259,128,3,1,3584,256,3,1,295168,32,3,0,73760,372512
260,128,3,1,3584,256,3,2,295168,256,3,1,590080,888832
261,128,3,1,3584,256,3,1,295168,256,3,0,590080,888832
262,128,3,1,3584,256,3,0,295168,256,1,0,65792,364544
263,128,3,1,3584,128,3,1,147584,32,1,1,4128,155296
