iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
0,64,5,0,4864,32,5,1,51232,16,3,1,4624,60720
0,16,1,2,64,32,5,2,12832,64,5,0,51264,64160
1,32,3,2,896,16,1,2,528,64,5,2,25664,27088
2,256,3,0,7168,128,3,0,295040,32,3,0,36896,339104
3,16,3,2,448,32,3,1,4640,256,3,0,73984,79072
4,256,3,2,7168,256,5,2,1638656,256,3,0,590080,2235904
5,256,3,1,7168,16,5,2,102416,128,3,0,18560,128144
6,32,3,2,896,32,1,0,1056,16,1,0,528,2480
7,256,5,2,19456,128,3,1,295040,64,3,2,73792,388288
8,128,1,2,512,32,3,0,36896,16,1,2,528,37936
9,16,3,2,448,32,1,1,544,64,1,2,2112,3104
10,16,1,1,64,32,5,2,12832,32,3,1,9248,22144
11,32,1,2,128,32,1,2,1056,64,5,2,51264,52448
12,256,3,2,7168,128,1,0,32896,32,3,2,36896,76960
13,16,3,2,448,64,3,2,9280,16,5,0,25616,35344
14,256,1,2,1024,16,1,1,4112,64,1,0,1088,6224
15,256,3,2,7168,16,3,2,36880,16,1,1,272,44320
16,256,1,2,1024,16,1,2,4112,64,5,0,25664,30800
17,32,1,2,128,16,3,1,4624,16,1,2,272,5024
18,16,5,2,1216,32,3,1,4640,128,3,2,36992,42848
19,16,3,2,448,128,5,0,51328,32,5,1,102432,154208
20,64,5,1,4864,16,3,1,9232,256,3,0,37120,51216
21,256,3,2,7168,64,1,1,16448,32,3,2,18464,42080
22,32,3,2,896,128,5,1,102528,32,3,0,36896,140320
23,16,1,1,64,16,3,2,2320,64,3,1,9280,11664
24,128,1,2,512,64,1,2,8256,32,5,1,51232,60000
25,256,1,0,1024,16,1,2,4112,64,5,2,25664,30800
26,32,1,2,128,32,3,1,9248,64,3,1,18496,27872
27,256,3,1,7168,128,3,0,295040,128,3,0,147584,449792
28,256,1,1,1024,256,5,2,1638656,32,5,1,204832,1844512
29,128,3,0,3584,32,3,0,36896,32,3,1,9248,49728
30,32,3,1,896,64,5,0,51264,32,3,0,18464,70624
31,32,3,2,896,32,5,0,25632,32,3,2,9248,35776
32,32,3,0,896,128,3,2,36992,128,5,1,409728,447616
33,32,3,2,896,64,1,2,2112,256,3,0,147712,150720
34,16,3,1,448,32,3,1,4640,128,3,1,36992,42080
35,64,3,2,1792,32,5,2,51232,32,3,1,9248,62272
36,32,3,2,896,128,3,2,36992,32,3,1,36896,74784
37,32,5,1,2432,256,1,0,8448,128,1,1,32896,43776
38,32,3,2,896,64,3,2,18496,128,5,1,204928,224320
39,256,3,2,7168,64,3,2,147520,128,3,2,73856,228544
40,128,5,0,9728,32,3,0,36896,32,5,2,25632,72256
41,32,1,2,128,32,3,0,9248,32,3,2,9248,18624
42,32,5,2,2432,256,3,1,73984,32,3,2,73760,150176
